"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R9,R7,R8,R5,R3";"R_0402_1005Metric";5;"2K";;;
2;"D1,D3,D2";"LED_0402_1005Metric";3;"LED";;;
3;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
4;"IC1";"ESP32C3MINI1N4";1;"ESP32-C3-MINI-1-N4";;;
5;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
6;"R1";"R_0402_1005Metric";1;"2.2k";;;
7;"C2,C4";"C_0402_1005Metric";2;"22uF/10V/10%";;;
8;"R2,R4";"R_0402_1005Metric";2;"1K";;;
9;"C9,C5,C7";"C_0402_1005Metric";3;"0.1uF";;;
10;"J1";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
11;"U1";"SOT-23-5";1;"MCP73831-2-OT";;;
12;"C8";"C_0402_1005Metric";1;"10uF";;;
13;"J4";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Conn_01x02_Male";;;
14;"C3,C1";"C_0402_1005Metric";2;"4.7uF";;;
15;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
16;"J5";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"Conn_01x02_Male";;;
17;"R6";"R_0402_1005Metric";1;"10K";;;
18;"C6";"C_0402_1005Metric";1;"100nF";;;
